"NS"	"FirstVid"	"a1_AfterGamb"	"beta1_AfterGamb"	"a2_AfterGamb"	"beta2_AfterGamb"	"w_AfterGamb"	"pi_AfterGamb"	"lambda_AfterGamb"	"a1_AfterNeu"	"beta1_AfterNeu"	"a2_AfterNeu"	"beta2_AfterNeu"	"w_AfterNeu"	"pi_AfterNeu"	"lambda_AfterNeu"	"MFRL_AfterGamb"	"MBRL_AfterGamb"	"AUC_AfterGamb"	"MBunRL_AfterGamb"	"AUCun_AfterGamb"	"MFRL_AfterNeu"	"MBRL_AfterNeu"	"AUC_AfterNeu"	"MBunRL_AfterNeu"	"AUCun_AfterNeu"
65	"Gambling"	0.836831723012933	6.96902510408466	0.196620332409166	2.60483141708783	0.265718858654089	0.424288171393003	0.973699047735405	0.964349516037238	5.95328318018331	0.0198988556643017	8.47484864709809	0.338059172174029	0.137157840704422	0.971344208095352	208.399517611734	68.2147545891463	0.846240601503759	0.852012867230471	0.617131062951496	20758.0824286584	0.915228482121284	0.869121561668146	1.19382575837053	0.524704618689581
239	"Gambling"	0.430565010624322	7.11224760611562	0.11252252312813	5.39334493982572	0.383632231044007	3.47250935226188	0.971676296683361	0.905896408140847	5.78257892489998	0.0500444666983974	4.2590482563185	0.642028702269878	3.84640290441647	0.970278978806721	0.999999999523803	0.999999999523803	NA	0.999997796693237	NA	0.999999999595936	0.999999999595936	NA	0.999999999662565	NA
45	"Gambling"	0.468489543354742	6.89516647895527	0.907024066079605	4.84087472494942	0.740991669688886	1.82408914708152	0.97157775385878	0.919325974102994	6.27963144298697	0.325077834098808	8.18710425466376	0.734289239740741	2.89237508159678	0.970845978353674	49.6948407794669	149.084522338401	0.822062084257206	0.756787507438558	0.563484708063021	90.9659526070559	92.7674334831882	0.795289855072464	0.679366220486781	0.616216216216216
258	"Gambling"	0.445464596761574	5.15859665836785	0.409747096956671	5.74288767410511	0.507633377209683	1.06050884937175	0.971092242208569	0.908238642939982	5.30716190826521	0.530933133687565	5.04537833344858	0.696592408413184	2.31064687776921	0.970595869351377	1.47084460082311	4.16017676525454	0.764524223122949	0.291513706902483	0.611538461538462	67.7569626935837	174.0707889246	0.799107142857143	0.52841346773372	0.534615384615385
89	"Gambling"	0.588871909287378	2.67373243192556	0.00877888882198869	3.78984350526855	0.570936571535522	0.310722350152351	0.971010071466818	0.893184328998937	2.94124458272454	0.0167849544879533	3.65192271545937	0.892771517502891	0.266898671225404	0.970606982206291	1.40551287702	0.937008584680036	0.532260046700258	1.11055541644358	0.394503546099291	1.31015892387616	0.82861725924956	0.563756613756614	1.12815214859035	0.595588235294118
81	"Gambling"	0.222295286058979	3.00893247759568	0.0359214124964618	3.50329268280557	0.526087383604463	0.213346127874016	0.971676081980775	0.901656789811328	4.98345294122919	0.0473066847750567	3.2742763034804	0.671658517590316	2.69364699770752	0.970624698941067	0.29650526814613	0.897714280093164	0.745261984392419	1.44222051018697	0.444444444444444	1.02988356703602	1.0298835768711	0.581818181818182	0.000136834293489319	0.59375
61	"Gambling"	0.51485670486144	3.01773273713208	0.689163926034907	2.91149704531934	0.528103837515593	1.52826483893567	0.971949843296935	0.941703496560791	2.92399901296348	0.143238698358495	5.08229724676024	0.410225317842312	1.39427996812338	0.971940538992788	1.74699029278251	1.16159125653338	0.613654458598726	0.983049619613404	0.478787878787879	2.72438354654117	0.877335122363893	0.732327586206897	0.955352507035551	0.559420289855072
37	"Gambling"	0.435643099250145	6.55106909555704	0.701775567511555	6.80703542012444	0.334769455840565	3.64418526518088	0.971794790369342	0.905923674479075	5.38149211426448	0.667951009619131	7.07982144231429	0.501774062986889	3.96075335893736	0.970724087774337	1.00000000111329	1.00000000111329	NA	0.999997592919288	NA	1.00000004872022	1.00000004872022	NA	1.00000000682513	NA
72	"Gambling"	0.673158432184317	8.42742671029426	0.602145189061871	3.12832348561554	0.373874800289752	1.9423538985671	0.973147612480169	0.938221272150479	6.14764264218753	0.208741941921767	5.40844451167077	0.456335438392489	1.84530191283613	0.971983653199263	9933.44111203714	1.10110651613773	0.790886392009988	0.82478609884233	0.475743348982786	164.920624993352	76.9931576479833	0.763673469387755	0.967106074590541	0.465934065934066
244	"Gambling"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31800077610329	1.30459248463053	0.594572271386431	0.665719023448949	0.605218377765173	1.7709114174115	1.05390309506124	0.605996021597045	1.07474658124776	0.408990011098779
245	"Gambling"	0.439501805989717	3.1933774768972	0.489955865182371	2.82700847270308	0.485121033748078	1.82119127452982	0.971171875853513	0.911366848564523	3.60042423553416	0.744477109063493	3.33002333176083	0.684299431510906	1.54962572560973	0.970881603184153	1.27077998564343	1.44092906275318	0.669117647058823	1.48448768651214	0.490312965722802	1.45185589316833	1.65162098200895	0.682186234817814	1.04446593573453	0.519607843137255
252	"Gambling"	0.0892611445163217	5.45270503106023	0.351839567279564	1.84934096554284	0.32517528848579	0.195081217436034	0.971561591477285	0.884797703761799	2.27927221278436	0.0490919147602182	3.20973451117839	0.94309788857241	0.0419527760473489	0.969989729448825	0.802604642183388	1.03096432975619	0.578953279424978	1.31567250942115	0.54025974025974	0.43614387255048	1.06292064190239	0.696135265700483	1.03263087820007	0.451183431952663
35	"Gambling"	0.130643251080351	2.80304319562802	0.0320781806979246	4.4423657197886	0.516089135996305	1.24002110856684	0.971183289361146	0.884186095558164	3.80796397319749	0.113490063506181	2.79858566308064	0.935062297986548	0.0331384862073861	0.969918155942301	1.13111263333793	0.783657820010487	0.719225806451613	0.758786910638753	0.797849462365591	0.488999638126838	0.740259963764135	0.887905604719764	0.324442842261919	0.865454545454545
241	"Gambling"	0.348508543043978	6.68566590565668	0.0136432135016873	12.4736292933425	0.386406070175166	2.57196834405676	0.971782729190931	0.921106293331453	4.29821623235163	0.539010192669347	3.83876969154332	0.732393002839048	1.95552392298182	0.971035318861734	0.924252229696866	8572.76471104426	0.770718232044199	0.000126208494770837	0.507042253521127	1.6536132854616	2.7481365121322	0.743145288370627	0.497118131628669	0.603174603174603
